Track Code,Race,No,Team 1,Odds,No,Team 2,Odds,Draw 3,
00,23,1,NZ Warriors (1-12), 3.10 ,2,Newcastle (1-12), 4.20 ,,
00,,3,NZ Warriors (13+), 2.35 ,4,Newcastle (13+), 7.50 ,,
00,,5,Draw, 21.00 ,,,  ,,
00,,1st Scoring Play,,,,,,,
00,24,1,NZ Warriors Try, 1.65 ,2,Newcastle Try, 2.25 ,,
00,,3,NZ Warriors P Goal, 5.00 ,4,Newcastle P Goal, 6.50 ,,
00,,5,NZ Warriors F Goal, 51.00 ,6,Newcastle F Goal, 51.00 ,,
00,,Half Time /Full Time Double,,,,,,,
00,25,1,NZ Warriors/NZ Warriors, 1.70 ,2,Newcastle /Newcastle, 5.00 ,,
00,,3,NZ Warriors/ Newcastle, 11.00 ,4,Newcastle /NZ Warriors, 7.00 ,,
00,,5,NZ Warriors / Draw, 34.00 ,6,Newcastle / Draw, 41.00 ,,
00,,7,Draw / NZ Warriors, 13.00 ,8,Draw / Newcastle, 23.00 ,,
00,,9,Draw / Draw, 67.00 ,,,  ,,
00,,Half Time Winning Team & Winning Margin,,,,,,,
00,26,1,NZ Warriors 1-4, 6.00 ,2,Newcastle 1-4, 7.00 ,,
00,,3,NZ Warriors 5-8, 6.00 ,4,Newcastle 5-8, 9.00 ,,
00,,5,NZ Warriors 9+, 2.70 ,6,Newcastle 9+, 6.00 ,,
00,,7,Draw at Half Time, 10.00 ,,,  ,,
00,,Full Time Winning Team & Winning Margin (10pt),,,,,,,
00,27,1,NZ Warriors 1-10, 3.10 ,2,Newcastle 1-10, 4.70 ,,
00,,3,NZ Warriors 11-20, 3.70 ,4,Newcastle 11-20, 10.50 ,,
00,,5,NZ Warriors 21-30, 5.80 ,6,Newcastle 21-30, 26.00 ,,
00,,7,NZ Warriors 31-40, 11.50 ,8,Newcastle 31-40, 56.00 ,,
00,,9,NZ Warriors 41-50, 29.00 ,10,Newcastle 41-50, 91.00 ,,
00,,11,NZ Warriors 51+, 56.00 ,12,Newcastle 51+, 101.00 ,,
00,,13,Draw, 21.00 ,,,  ,,
00,,Total Match Points,,,,,,,
00,28,1,Over 44.5, 1.95 ,2,Under 44.5, 1.80 ,,
00,,Total Match Points (Scores of both teams added),,,,,,,
00,29,1,0-10 Points, 71.00 ,2,11-20 Points, 19.00 ,,
00,,3,21-30 Points, 6.75 ,4,31-40 Points, 3.90 ,,
00,,5,41-50 Points, 3.15 ,6,51-60 Points, 3.90 ,,
00,,7,61-70 Points, 7.00 ,8,71+ Points, 11.00 ,,
00,,Total Match Tries (Tries only),,,,,,,
00,30,1,0-2 Tries, 61.00 ,2,3-4 Tries, 11.50 ,,
00,,3,5-6 Tries, 4.30 ,4,7-8 Tries, 2.90 ,,
00,,5,9-10 Tries, 3.35 ,6,11+ Tries, 5.00 ,,
,,,,,,,,,
Track Code,Race,No,Team 1, Odds ,,Team 2, Odds ,Draw 3,
00,31,1,Melbourne Storm, 1.20 ,2,South Sydney Rabbitohs, 4.80 ,23,
00,32,1,Melbourne (-13.5), 1.70 ,2,Souths (+13.5), 2.00 ,,
00,33,1,Melbourne (1-12), 3.50 ,2,Souths (1-12), 6.50 ,,
00,,3,Melbourne (13+), 1.70 ,4,Souths (13+), 11.00 ,,
00,,5,Draw, 23.00 ,,,  ,,
00,,1st Scoring Play,,,,,,,
00,34,1,Melbourne Try, 1.50 ,2,Souths Try, 2.55 ,,
00,,3,Melbourne P Goal, 5.00 ,4,Souths P Goal, 6.80 ,,
00,,5,Melbourne F Goal, 51.00 ,6,Souths F Goal, 51.00 ,,
00,,Half Time /Full Time Double,,,,,,,
00,35,1,Melbourne/Melbourne, 1.40 ,2,Souths / Souths, 7.00 ,,
00,,3,Melbourne/ Souths, 15.00 ,4,Souths / Melbourne, 7.00 ,,
00,,5,Melbourne/ Draw, 41.00 ,6,Souths / Draw, 41.00 ,,
00,,7,Draw / Melbourne, 13.00 ,8,Draw / Souths, 34.00 ,,
00,,9,Draw / Draw, 81.00 ,,,  ,,
00,,Half Time Winning Team & Winning Margin,,,,,,,
00,36,1,Melbourne 1-4, 6.50 ,2,Souths 1-4, 8.50 ,,
00,,3,Melbourne 5-8, 6.00 ,4,Souths 5-8, 11.00 ,,
00,,5,Melbourne 9+, 2.10 ,6,Souths 9+, 8.00 ,,
00,,7,Draw at Half Time, 11.00 ,,,  ,,
00,,Full Time Winning Team & Winning Margin (10pt),,,,,,,
00,37,1,Melbourne 1-10, 3.55 ,2,Souths 1-10, 6.75 ,,
00,,3,Melbourne 11-20, 3.40 ,4,Souths 11-20, 17.00 ,,
00,,5,Melbourne 21-30, 4.30 ,6,Souths 21-30, 41.00 ,,
00,,7,Melbourne 31-40, 7.00 ,8,Souths 31-40, 76.00 ,,
00,,9,Melbourne 41-50, 15.00 ,10,Souths 41-50, 101.00 ,,
00,,11,Melbourne 51+, 25.00 ,12,Souths 51+, 101.00 ,,
00,,13,Draw, 23.00 ,,,  ,,
00,,Total Match Points,,,,,,,
00,38,1,Over 48.5, 1.90 ,2,Under 48.5, 1.90 ,,
00,,Total Match Points (Scores of both teams added),,,,,,,
00,39,1,0-10 Points, 91.00 ,2,11-20 Points, 26.00 ,,
00,,3,21-30 Points, 9.00 ,4,31-40 Points, 4.50 ,,
00,,5,41-50 Points, 3.15 ,6,51-60 Points, 3.55 ,,
00,,7,61-70 Points, 5.75 ,8,71+ Points, 8.50 ,,
00,,Total Match Tries (Tries only),,,,,,,
00,40,1,0-2 Tries, 81.00 ,2,3-4 Tries, 13.00 ,,
00,,3,5-6 Tries, 5.40 ,4,7-8 Tries, 3.20 ,,
00,,5,9-10 Tries, 3.05 ,6,11+ Tries, 3.60 ,,
