Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,Time,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,HTWinner,HTWinningMargin,FTWinner,FTWinningMargin,TotalMatchPoints,TotalMatchGoals
2012,4,20/04/2012,22.1,11.8,2.4,Docklands,7:50 PM,"30,172",St Kilda,4.3,6.9,8.1,11.13,79,Fremantle,3.2,6.3,11.6,14.8,92,St Kilda,6,Fremantle,13,171,25
2012,4,21/04/2012,24,13.3,2.6,M.C.G.,1:45 PM,"73,172",Carlton,4.4,4.7,5.12,11.13,79,Essendon,3.6,8.11,12.17,15.19,109,Essendon,28,Essendon,30,188,26
2012,4,21/04/2012,24,13.3,2.6,Docklands,2:10 PM,"30,741",Collingwood,7.5,8.8,13.11,14.13,97,Port Adelaide,2.2,5.7,8.8,10.13,73,Collingwood,19,Collingwood,24,170,24
2012,4,21/04/2012,21.5,18.8,0,Football Park,4:10 PM,"28,261",Adelaide Crows,5.4,7.8,10.13,13.18,96,GWS Giants,1.1,5.3,6.6,7.8,50,Adelaide,17,Adelaide,46,146,20
2012,4,21/04/2012,21.9,9.2,0,Subiaco,5:40 PM,"40,080",West Coast Eagles,0.8,0.12,2.16,5.21,51,Hawthorn,0.4,2.7,3.13,5.16,46,Hawthorn,7,West Coast,5,97,10
2012,4,21/04/2012,29.9,18.1,0,Gabba,7:40 PM,"21,980",Brisbane Lions,3.3,7.4,12.5,17.9,111,Gold Coast Suns,2.4,5.8,5.9,6.1,46,Brisbane Lions,8,Brisbane Lions,65,157,23
2012,4,22/04/2012,23.2,14.5,7.2,Kardinia Park,1:10 PM,"21,952",Geelong Cats,4.1,7.3,10.4,11.9,75,Richmond,3.1,3.6,7.1,9.11,65,Geelong,21,Geelong,10,140,20
2012,4,22/04/2012,25.2,16.3,0,S.C.G.,3:15 PM,"21,049",Sydney Swans,5.5,9.7,14.9,17.11,113,North Melbourne,1.3,6.7,7.11,10.17,77,Sydney,18,Sydney,36,190,27
2012,4,22/04/2012,23.7,13.5,1.4,M.C.G.,4:40 PM,"33,565",Melbourne,1.5,3.8,7.1,9.13,67,Western Bulldogs,3.2,6.5,10.7,13.1,88,Western Bulldogs,15,Western Bulldogs,21,155,22
2012,5,25/04/2012,15.2,8.7,19,M.C.G.,2:40 PM,"86,932",Collingwood,2.4,5.6,9.8,11.14,80,Essendon,1.3,3.6,7.8,11.13,79,Collingwood,12,Collingwood,1,159,22
2012,5,27/04/2012,29.5,17.6,0,Subiaco,6:45 PM,"38,847",Fremantle,1.2,3.9,4.1,7.15,57,Carlton,2.1,6.2,9.4,10.5,65,Carlton,11,Carlton,8,122,17
2012,5,28/04/2012,19.4,3.9,0,Manuka Oval,1:45 PM,"9,128",GWS Giants,2.4,5.5,8.6,9.8,62,Western Bulldogs,0.5,8.9,12.12,15.14,104,Western Bulldogs,22,Western Bulldogs,42,166,24
2012,5,28/04/2012,21.5,8.2,0,Docklands,4:40 PM,"17,680",North Melbourne,4.9,8.13,14.22,17.25,127,Gold Coast Suns,2.5,9.8,10.12,13.15,93,Gold Coast,1,North Melbourne,34,220,30
2012,5,28/04/2012,21.5,8.2,0,M.C.G.,7:40 PM,"24,877",Melbourne,4.1,8.3,10.6,10.6,66,St Kilda,5.4,8.5,10.9,12.12,84,St Kilda,2,St Kilda,18,150,22
2012,5,28/04/2012,21.2,16.1,38.4,Gabba,7:45 PM,"15,534",Brisbane Lions,0.5,0.7,1.9,4.17,41,Geelong Cats,4.1,7.5,10.6,12.7,79,Geelong,40,Geelong,38,120,16
2012,5,29/04/2012,15.6,2.1,0,York Park,1:10 PM,"19,217",Hawthorn,5.3,8.6,8.6,10.9,69,Sydney Swans,2.2,5.4,9.7,16.1,106,Hawthorn,20,Sydney,37,175,26
2012,5,29/04/2012,16,8.6,1.6,Docklands,3:15 PM,"28,464",Richmond,4.2,9.4,12.9,14.13,97,West Coast Eagles,5.3,11.6,12.11,16.11,107,West Coast,14,West Coast,10,204,30
2012,5,29/04/2012,19,7.8,0,Football Park,4:10 PM,"41,649",Adelaide Crows,4.3,10.4,12.7,16.14,110,Port Adelaide,4.2,7.3,13.4,14.7,91,Adelaide,19,Adelaide,19,201,30
2012,6,4/05/2012,16.7,9.8,4,Docklands,7:50 PM,"38,155",Western Bulldogs,3.5,5.7,10.1,11.11,77,Collingwood,2,6.4,11.5,15.8,98,Collingwood,3,Collingwood,21,175,26
2012,6,5/05/2012,13.3,7.4,0,Docklands,1:40 PM,"36,361",Essendon,8.3,12.9,16.12,19.15,129,Brisbane Lions,4.1,7.4,8.4,9.8,62,Essendon,35,Essendon,67,191,28
2012,6,5/05/2012,15.5,8.6,0,Kardinia Park,1:45 PM,"18,010",Geelong Cats,3.5,9.11,15.14,17.17,119,Melbourne,3,6.1,10.5,11.1,76,Geelong,28,Geelong,43,195,28
2012,6,5/05/2012,23.3,14.9,0,Carrara,4:40 PM,"11,670",Gold Coast Suns,3.1,8.2,10.2,14.3,87,Fremantle,3,5.3,10.7,14.1,94,Gold Coast,17,Fremantle,7,181,28
2012,6,5/05/2012,18.9,11.4,0,S.C.G.,7:40 PM,"23,969",Sydney Swans,1.2,7.6,12.7,14.1,94,Adelaide Crows,5.2,8.3,11.6,15.9,99,Adelaide,3,Adelaide,5,193,29
